CustomerID,Nb_Total_Cdes,Nb_Total_Articles,Nb_Dates_Distinctes_Cdes,Mnt_Moyen_Articles_Unitaires,Mnt_Moyen_Cdes,Nb_Moyen_Article_par_Cdes,Nb_Moyen_Article_Diff_par_Cdes,mois_moyen,jour_moyen,heure_moyen,Nb_Jour_Depuis_Derniere_Cde,Nb_Jour_Entre_2_Cdes,Mnt_Total_Cdes,Nb_Moyen_Article_par_Ref_par_Cde,Date_Der_Cde,Cluster_KM_V2
12346.0,1,74215,1,1.04,77183.6,74215.0,1.0,1,18,10,325,0.0,77183.6,74215.0,2011-01-18 10:01:00,1
12347.0,7,2458,7,2.6440109890109893,615.7142857142858,351.1428571428572,26.0,7,12,12,2,51.714285714285715,4309.999999999997,13.7992448148443,2011-12-07 15:52:00,4
12348.0,4,2341,4,5.764838709677418,449.31,585.25,6.75,6,17,13,75,70.5,1797.24,80.69038461538463,2011-09-25 13:13:00,4
12349.0,1,631,1,8.289041095890411,1757.55,631.0,73.0,11,21,9,18,0.0,1757.55,8.643835616438357,2011-11-21 09:51:00,3
12350.0,1,197,1,3.8411764705882345,334.4000000000001,197.0,17.0,2,2,16,310,0.0,334.4000000000001,11.588235294117649,2011-02-02 16:01:00,0
12352.0,8,536,7,15.930705882352962,313.25499999999994,67.0,10.375,5,13,14,36,32.25,2506.040000000001,6.2045634920634924,2011-11-03 14:37:00,4
12353.0,1,20,1,6.074999999999998,89.0,20.0,4.0,5,19,17,204,0.0,89.0,5.0,2011-05-19 17:47:00,0
12354.0,1,530,1,4.503793103448274,1079.4,530.0,58.0,4,21,13,232,0.0,1079.4,9.137931034482758,2011-04-21 13:11:00,0
12355.0,1,240,1,4.203846153846154,459.4,240.0,13.0,5,9,13,214,0.0,459.4,18.46153846153846,2011-05-09 13:49:00,0
12356.0,3,1591,3,3.2011864406779647,937.1433333333334,530.3333333333334,19.666666666666668,5,14,9,22,100.66666666666669,2811.430000000001,17.965608465608465,2011-11-17 08:40:00,4
12357.0,1,2708,1,3.3486259541984684,6207.669999999996,2708.0,131.0,11,6,16,33,0.0,6207.669999999996,20.671755725190838,2011-11-06 16:07:00,3
12358.0,2,248,2,8.274210526315791,584.03,124.0,9.5,9,10,10,1,74.5,1168.06,14.738095238095234,2011-12-08 10:26:00,4
12359.0,4,1622,4,8.620403225806458,1593.145,405.5,60.75,4,8,12,57,68.25,6372.5800000000045,7.2392420212765956,2011-10-13 12:47:00,4
12360.0,3,1165,3,3.5496899224806207,887.3533333333335,388.33333333333326,43.0,7,20,11,52,49.33333333333334,2662.0600000000004,8.912345679012347,2011-10-18 15:22:00,4
12361.0,1,91,1,3.335,189.9,91.0,10.0,2,25,13,287,0.0,189.9,9.1,2011-02-25 13:51:00,0
12362.0,10,2229,10,3.9409398496240615,522.623,222.9,26.6,8,16,11,3,28.7,5226.230000000003,8.751995514735986,2011-12-06 15:40:00,4
12363.0,2,408,2,2.311739130434783,276.0,204.0,11.5,6,16,11,109,66.0,552.0,17.8125,2011-08-22 10:18:00,4
12364.0,4,1506,4,1.9102352941176437,328.275,376.5,21.25,9,18,14,7,25.75,1313.1,34.39948504654387,2011-12-02 10:22:00,3
12365.0,2,174,1,17.150454545454547,320.69,87.0,11.0,2,21,13,291,0.0,641.38,4.6190476190476195,2011-02-21 14:04:00,0
